feature,fscore
BUK_mean_no_bus_created_1h_per_second_key_event,0.0005324813631522897
BUK_std_no_bus_created_24h_per_second_key_event,0.0005324813631522897
BUK_mean_no_sessions_1h_per_city,0.0005324813631522897
BUK_mean_no_payment_in_12h_per_city,0.0005324813631522897
BUK_mean_no_purchase_12h_per_source_l1,0.0005324813631522897
BUK_std_no_purchase_12h_per_first_key_event,0.0005324813631522897
BUK_mean_no_sale_72h_per_city,0.0005324813631522897
BUK_os_user_segment_count,0.0005324813631522897
BUK_mean_time_to_first_event_from_installation_per_first_key_event,0.0005324813631522897
BUK_std_no_screens_72h_per_second_key_event,0.0005324813631522897
BUK_std_no_bus_created_1h_per_third_key_event,0.0005324813631522897
BUK_mean_no_sale_w_cogs_1h_per_second_key_event,0.0005324813631522897
BUK_mean_time_to_third_event_from_registration_per_city,0.0005324813631522897
BUK_mean_no_inventory_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_sessions_72h_per_source_l1,0.0005324813631522897
BUK_std_no_sale_w_cogs_24h_per_city,0.0005324813631522897
BUK_std_no_screens_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_time_to_register_from_installation_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_purchase_24h_per_source_l1,0.0005324813631522897
BUK_std_no_bus_created_12h_per_third_key_event,0.0005324813631522897
BUK_mean_time_to_first_event_from_installation_per_third_key_event,0.0005324813631522897
BUK_std_time_to_second_event_from_installation_per_third_key_event,0.0005324813631522897
BUK_std_time_to_third_event_from_registration_per_third_key_event,0.0005324813631522897
BUK_mean_time_to_register_from_installation_per_third_key_event,0.0005324813631522897
BUK_std_time_to_first_event_from_installation_per_source_l2,0.0005324813631522897
BUK_std_no_bus_created_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_time_to_first_event_from_registration_per_source_l1,0.0005324813631522897
BUK_std_no_sessions_1h_per_first_key_event,0.0005324813631522897
BUK_mean_time_to_receive_otp_from_installation_per_third_key_event,0.0005324813631522897
BUK_mean_no_screens_1h_per_third_key_event,0.0005324813631522897
BUK_std_no_screens_12h_per_city,0.0005324813631522897
BUK_mean_no_purchase_1h_per_source_l2,0.0005324813631522897
BUK_std_time_to_first_event_from_installation_per_second_key_event,0.0005324813631522897
BUK_mean_no_bus_created_24h_per_second_key_event,0.0005324813631522897
BUK_std_time_to_second_event_from_registration_per_city,0.0005324813631522897
BUK_std_no_sessions_1h_per_city,0.0005324813631522897
BUK_mean_no_purchase_72h_per_source_l2,0.0005324813631522897
BUK_mean_no_bus_created_24h_per_source_l1,0.0005324813631522897
BUK_mean_no_sessions_1h_per_second_key_event,0.0005324813631522897
BUK_mean_no_screens_72h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_purchase_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_time_to_first_event_from_installation_per_city,0.0005324813631522897
BUK_mean_no_receivable_1h_per_source_l2,0.0005324813631522897
BUK_mean_no_sessions_72h_per_city,0.0005324813631522897
BUK_mean_no_screens_12h_per_city,0.0005324813631522897
BUK_mean_no_screens_1h_per_second_key_event,0.0005324813631522897
BUK_std_no_sale_w_cogs_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_payment_in_12h_per_source_l2,0.0005324813631522897
BUK_mean_no_payment_in_1h_per_city,0.0005324813631522897
BUK_mean_time_to_first_event_from_registration_per_city,0.0005324813631522897
BUK_std_time_to_third_event_from_registration_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_inventory_12h_per_second_key_event,0.0005324813631522897
BUK_mean_no_payment_in_1h_per_third_key_event,0.0005324813631522897
BUK_std_no_sale_24h_per_second_key_event,0.0005324813631522897
BUK_std_no_receivable_1h_per_source_l1,0.0005324813631522897
BUK_std_no_purchase_12h_per_source_l2,0.0005324813631522897
BUK_std_no_receivable_12h_per_city,0.0005324813631522897
BUK_std_no_inventory_24h_per_bus_cat_most_used,0.0005324813631522897
BUK_third_key_event_source_l0_count,0.0005324813631522897
BUK_mean_no_payment_out_1h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_sale_24h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_payment_in_24h_per_city,0.0005324813631522897
BUK_mean_no_payment_in_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_bus_created_12h_per_first_key_event,0.0005324813631522897
BUK_std_no_sessions_72h_per_city,0.0005324813631522897
BUK_std_no_bus_created_1h_per_bus_cat_most_used,0.0005324813631522897
BUK_std_time_to_second_event_from_registration_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_payment_out_72h_per_second_key_event,0.0005324813631522897
BUK_mean_time_to_receive_otp_from_installation_per_source_l2,0.0005324813631522897
BUK_third_key_event_user_segment_count,0.0005324813631522897
BUK_mean_time_to_third_event_from_installation_per_city,0.0005324813631522897
BUK_std_no_screens_1h_per_source_l2,0.0005324813631522897
BUK_mean_no_sale_w_cogs_24h_per_source_l2,0.0005324813631522897
BUK_mean_no_receivable_1h_per_second_key_event,0.0005324813631522897
BUK_mean_time_to_first_event_from_installation_per_source_l2,0.0005324813631522897
BUK_std_no_screens_72h_per_third_key_event,0.0005324813631522897
BUK_std_no_inventory_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_bus_created_72h_per_source_l2,0.0005324813631522897
BUK_std_no_screens_1h_per_city,0.0005324813631522897
BUK_std_time_to_receive_otp_from_installation_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_purchase_24h_per_bus_cat_most_used,0.0005324813631522897
BUK_mean_no_screens_72h_per_third_key_event,0.0005324813631522897
BUK_std_time_to_register_from_otp_per_source_l2,0.0005324813631522897
BUK_mean_no_sessions_1h_per_third_key_event,0.0005324813631522897
BUK_std_time_to_first_event_from_registration_per_city,0.0005324813631522897
BUK_mean_time_to_first_event_from_registration_per_first_key_event,0.0005324813631522897
BUK_source_l1_source_l2_count,0.0005324813631522897
BUK_std_no_sessions_1h_per_second_key_event,0.0005324813631522897
BUK_std_time_to_second_event_from_installation_per_bus_cat_most_used,0.0005324813631522897
BUK_std_no_purchase_1h_per_source_l2,0.0005324813631522897
BUK_std_no_payment_in_12h_per_bus_cat_most_used,0.0005324813631522897
BUK_source_l1_count,0.0005324813631522897
BUK_mean_time_to_second_event_from_installation_per_city,0.0005324813631522897
BUK_mean_time_to_receive_otp_from_installation_per_city,0.0005324813631522897
BUK_mean_time_to_first_event_from_installation_per_city,0.0005324813631522897
BUK_std_no_purchase_1h_per_second_key_event,0.0005324813631522897
BUK_mean_no_screens_1h_per_source_l2,0.0005324813631522897
BUK_mean_no_sessions_1h_per_source_l2,0.0005324813631522897
BUK_mean_no_sale_24h_per_city,0.0005324813631522897
BUK_mean_no_sale_w_cogs_1h_per_city,0.0005324813631522897
BUK_std_no_sale_72h_per_source_l1,0.0005324813631522897
BUK_mean_time_to_register_from_otp_per_source_l1,0.0005324813631522897
BUK_mean_no_screens_12h_per_third_key_event,0.0005324813631522897
BUK_std_no_screens_1h_per_source_l1,0.0005324813631522897
BUK_mean_time_to_receive_otp_from_installation_per_first_key_event,0.0005324813631522897
BUK_mean_time_to_register_from_installation_per_first_key_event,0.0005324813631522897
BUK_std_no_receivable_1h_per_third_key_event,0.0005324813631522897
BUK_mean_no_bus_created_12h_per_source_l2,0.0005324813631522897
BUK_std_no_receivable_72h_per_source_l1,0.0005324813631522897
BUK_std_no_sessions_1h_per_source_l2,0.0005324813631522897
BUK_mean_no_screens_24h_per_first_key_event,0.0005324813631522897
BUK_mean_time_to_second_event_from_registration_per_source_l2,0.0005324813631522897
BUK_std_no_payment_in_1h_per_city,0.0005324813631522897
BUK_mean_no_inventory_24h_per_city,0.0005324813631522897
BUK_std_no_sale_w_cogs_1h_per_source_l2,0.0005324813631522897
